"CubeId";"zimoma"
"PublishingDate";"2023-10-02 14:30"

"Date";"D0";"Value"
"1987-08";"1TGT";"1.5625"
"1987-08";"EG3M";
"1987-09";"SARON";
"1987-09";"1TGT";"0.75"
"1987-09";"EG3M";
"1987-10";"SARON";
"1987-10";"1TGT";"1.1875"
"1987-10";"EG3M";
"1987-11";"SARON";
"1987-11";"1TGT";"1.25"
"1987-11";"EG3M";
"1987-12";"SARON";
"1987-12";"1TGT";"0"
"1987-12";"EG3M";
"1988-01";"SARON";
"1988-01";"1TGT";"0.5625"
"1988-01";"EG3M";
"1988-02";"SARON";
"1988-02";"1TGT";"0.5625"
"1988-02";"EG3M";
"1988-03";"SARON";
"1988-03";"1TGT";"1.375"
"1988-03";"EG3M";
"1988-04";"SARON";
"1988-04";"1TGT";"1.75"
"1988-04";"EG3M";
"1988-05";"SARON";
"1988-05";"1TGT";"2.75"
"1988-05";"EG3M";
"1988-06";"SARON";
"1988-06";"1TGT";"3.25"
"1988-06";"EG3M";
"1988-07";"SARON";
"1988-07";"1TGT";"2.6875"
"1988-07";"EG3M";
"1988-08";"SARON";
"1988-08";"1TGT";"3.0625"
"1988-08";"EG3M";
"1988-09";"SARON";
"1988-09";"1TGT";"2.25"
"1988-09";"EG3M";
"1988-10";"SARON";
"1988-10";"1TGT";"3.4375"
"1988-10";"EG3M";
"1988-11";"SARON";
"1988-11";"1TGT";"4.5"
"1988-11";"EG3M";
"1988-12";"SARON";
"1988-12";"1TGT";"4.6875"
"1988-12";"EG3M";
"1989-01";"SARON";
"1989-01";"1TGT";"5"
"1989-01";"EG3M";
"1989-02";"SARON";
"1989-02";"1TGT";"4.875"
"1989-02";"EG3M";
"1989-03";"SARON";
"1989-03";"1TGT";"4.75"
"1989-03";"EG3M";
"1989-04";"SARON";
"1989-04";"1TGT";"6.125"
"1989-04";"EG3M";
"1989-05";"SARON";
"1989-05";"1TGT";"8.1875"
"1989-05";"EG3M";
"1989-06";"SARON";
"1989-06";"1TGT";"7.5"
"1989-06";"EG3M";
"1989-07";"SARON";
"1989-07";"1TGT";"7"
"1989-07";"EG3M";
"1989-08";"SARON";
"1989-08";"1TGT";"7.0625"
"1989-08";"EG3M";
"1989-09";"SARON";
"1989-09";"1TGT";"7"
"1989-09";"EG3M";
"1989-10";"SARON";
"1989-10";"1TGT";"7.375"
"1989-10";"EG3M";
"1989-11";"SARON";
"1989-11";"1TGT";"7.375"
"1989-11";"EG3M";
"1989-12";"SARON";
"1989-12";"1TGT";"9.6875"
"1989-12";"EG3M";
"1990-01";"SARON";
"1990-01";"1TGT";"8.625"
"1990-01";"EG3M";
"1990-02";"SARON";
"1990-02";"1TGT";"8.6875"
"1990-02";"EG3M";
"1990-03";"SARON";
"1990-03";"1TGT";"8.5"
"1990-03";"EG3M";
"1990-04";"SARON";
"1990-04";"1TGT";"8.625"
"1990-04";"EG3M";
"1990-05";"SARON";
"1990-05";"1TGT";"8.875"
"1990-05";"EG3M";
"1990-06";"SARON";
"1990-06";"1TGT";"8.9375"
"1990-06";"EG3M";
"1990-07";"SARON";
"1990-07";"1TGT";"8.5625"
"1990-07";"EG3M";
"1990-08";"SARON";
"1990-08";"1TGT";"7.125"
"1990-08";"EG3M";
"1990-09";"SARON";
"1990-09";"1TGT";"7.25"
"1990-09";"EG3M";
"1990-10";"SARON";
"1990-10";"1TGT";"7.625"
"1990-10";"EG3M";
"1990-11";"SARON";
"1990-11";"1TGT";"7.3125"
"1990-11";"EG3M";
"1990-12";"SARON";
"1990-12";"1TGT";"8.75"
"1990-12";"EG3M";
"1991-01";"SARON";
"1991-01";"1TGT";"7.625"
"1991-01";"EG3M";
"1991-02";"SARON";
"1991-02";"1TGT";"8.1875"
"1991-02";"EG3M";
"1991-03";"SARON";
"1991-03";"1TGT";"8.6875"
"1991-03";"EG3M";
"1991-04";"SARON";
"1991-04";"1TGT";"8.4375"
"1991-04";"EG3M";
"1991-05";"SARON";
"1991-05";"1TGT";"7.375"
"1991-05";"EG3M";
"1991-06";"SARON";
"1991-06";"1TGT";"7.5"
