Date,SARON,SOFR,LogDifferenceCHFUSD
2021-02-19,-0.724928,0.02,0.002232642141975577
2021-02-20,-0.724974,0.023333333333333334,-0.0003724533545233777
2021-02-21,-0.72502,0.026666666666666665,-0.0003723146846688341
2021-02-22,-0.725066,0.03,-0.00037217611803302963
2021-02-23,-0.725337,0.01,-0.007119051201095683
2021-02-24,-0.724678,0.02,-0.0057471422555679524
2021-02-25,-0.725764,0.03,0.004528643074065572
2021-02-26,-0.725267,0.01,-0.006510367822590318
2021-02-27,-0.7253763333333333,0.013333333333333334,-0.001685043806888789
2021-02-28,-0.7254856666666667,0.016666666666666666,-0.0016822092100082647
2021-03-01,-0.725595,0.02,-0.001679384133885839
2021-03-02,-0.72567,0.04,-0.0003282455306018728
2021-03-03,-0.725254,0.04,-0.004257415960717492
2021-03-04,-0.724943,0.02,-0.008352817452675146
2021-03-05,-0.725098,0.02,-0.005171868009139879
2021-03-06,-0.725127,0.02,-0.00178954951122752
2021-03-07,-0.725156,0.02,-0.0017863527436964427
2021-03-08,-0.725185,0.02,-0.0017831673769149181
2021-03-09,-0.724883,0.02,0.006757144817890234
2021-03-10,-0.724911,0.02,-0.0026868735601250776
2021-03-11,-0.724896,0.01,0.007865996056153526
2021-03-12,-0.725128,0.01,-0.0039946072011214084
2021-03-13,-0.725254,0.01,-7.182876026648466e-05
2021-03-14,-0.72538,0.01,-7.182360126620213e-05
2021-03-15,-0.725506,0.01,-7.181844300709062e-05
2021-03-16,-0.725516,0.01,0.0023727362296636356
2021-03-17,-0.727027,0.01,-0.0016183852051533248
2021-03-18,-0.725519,0.01,-0.0005388802199705334
2021-03-19,-0.725382,0.01,-0.0021526216470743043
2021-03-20,-0.7254243333333333,0.01,0.0024399882929686673
2021-03-21,-0.7254666666666666,0.01,0.0024459564009201157
2021-03-22,-0.725509,0.01,0.002451953775950505
2021-03-23,-0.725212,0.01,-0.010129396954235731
2021-03-24,-0.725431,0.01,-0.0029975399813265274
2021-03-25,-0.72542,0.01,-0.004053771286325378
2021-03-26,-0.726038,0.01,-0.0005321696682454649
2021-03-27,-0.7257509999999999,0.01,0.0006031470264981006
